strategy,bets,profit_pct,roi,win_rate,max_drawdown,avg_odds,avg_ev
high_odds_strict,37,18.426655415277153,0.4980177139264096,37.83783783783784,-13.574074074074073,4.351400252903914,155.1280818771452
high_odds_expanded,36,16.969062822684567,0.4713628561856824,30.555555555555557,-13.0,5.713805868085215,207.98259735516518
hybrid,198,6.706981346479599,0.033873643164038375,26.262626262626267,-34.727999999999916,4.389129809107711,105.8424549897406
medium_high_value,23,6.030826421404685,0.26220984440889933,34.78260869565217,-11.0,3.599427063862415,117.46897293914962
ultra_value,51,4.619062822684561,0.09056985926832473,21.568627450980394,-19.65,5.54666998325107,187.83791162651292
high_odds_value,141,1.4580822814866168,0.010341009088557566,22.69503546099291,-31.049999999999997,4.859457878716163,125.43184513264265
medium_odds,73,0.0,0.0,41.0958904109589,0.0,2.4292099911028284,38.59591599222202
conservative_fixed,75,-2.7809371773154403,-0.037079162364205866,20.0,-26.049999999999997,5.054244679519819,158.42705565039756
aggressive,167,-11.990603850497338,-0.07180002305687029,23.353293413173652,-45.45000000000001,4.300322332135588,97.5457708375068
max_profit,100,-12.884913034067392,-0.1288491303406739,19.0,-48.555000000000035,5.037379200963034,141.19203108711775
